epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,376.054,0.84214,5.55299,1.70217,1.18096,0.93761,0.39025,0.42901,0.32482,0.98711,0.01667,0.01665,0.00166,1.81428,5.15249,2.42411,1.61495,2.98125e-05,2.98125e-05,2.98125e-05
57,380.951,0.99109,5.58632,1.53805,1.35377,0.93959,0.39417,0.42885,0.32547,0.98763,0.01667,0.01674,0.00167,1.81146,5.15367,2.4116,1.59107,2.96948e-05,2.96948e-05,2.96948e-05
58,394.923,0.79199,5.63218,1.65667,1.24707,0.93959,0.39417,0.42885,0.32547,0.98763,0.01667,0.01674,0.00167,1.81146,5.15367,2.4116,1.59107,2.95535e-05,2.95535e-05,2.95535e-05
59,416.877,0.85748,5.82963,0.98595,1.21427,0.93959,0.39417,0.42885,0.32547,0.98763,0.01667,0.01674,0.00167,1.81146,5.15367,2.4116,1.59107,2.93887e-05,2.93887e-05,2.93887e-05
60,425.516,0.74016,5.69677,1.09595,1.19303,0.93881,0.39552,0.42959,0.30953,0.98766,0.01667,0.0167,0.00167,1.79236,5.15418,2.41606,1.5572,2.92003e-05,2.92003e-05,2.92003e-05
61,430.622,0.687,5.55904,0.94794,1.10255,0.93881,0.39552,0.42959,0.30953,0.98766,0.01667,0.0167,0.00167,1.79236,5.15418,2.41606,1.5572,2.89884e-05,2.89884e-05,2.89884e-05
62,435.846,0.77023,5.5647,1.26877,1.11692,0.93881,0.39552,0.42959,0.30953,0.98766,0.01667,0.0167,0.00167,1.79236,5.15418,2.41606,1.5572,2.87529e-05,2.87529e-05,2.87529e-05
63,441.796,0.81108,5.58381,1.04115,1.17569,0.94109,0.39352,0.42884,0.30888,0,0,0,0,1.78419,5.15599,2.38279,1.54219,2.84938e-05,2.84938e-05,2.84938e-05
64,446.64,0.65101,5.48425,0.99353,1.10662,0.94109,0.39352,0.42884,0.30888,0,0,0,0,1.78419,5.15599,2.38279,1.54219,2.82112e-05,2.82112e-05,2.82112e-05
65,451.459,0.63216,5.33846,0.96258,1.15042,0.94109,0.39352,0.42884,0.30888,0,0,0,0,1.78419,5.15599,2.38279,1.54219,2.7905e-05,2.7905e-05,2.7905e-05
66,456.678,0.78393,5.67545,1.18621,1.14449,0.94245,0.39501,0.42785,0.30814,0,0,0,0,1.80124,5.15517,2.42517,1.54307,2.75753e-05,2.75753e-05,2.75753e-05
67,461.291,0.76535,5.55263,1.32226,1.15735,0.94245,0.39501,0.42785,0.30814,0,0,0,0,1.80124,5.15517,2.42517,1.54307,2.7222e-05,2.7222e-05,2.7222e-05
68,466.358,0.93816,5.7162,1.90096,1.35098,0.94245,0.39501,0.42785,0.30814,0,0,0,0,1.80124,5.15517,2.42517,1.54307,2.68451e-05,2.68451e-05,2.68451e-05
69,471.217,0.61939,5.50686,1.2738,1.09995,0.94453,0.38965,0.42761,0.30068,0,0,0,0,1.80429,5.15918,2.42541,1.52914,2.64447e-05,2.64447e-05,2.64447e-05
70,476.044,0.72278,5.25214,1.08995,1.19291,0.94453,0.38965,0.42761,0.30068,0,0,0,0,1.80429,5.15918,2.42541,1.52914,2.60207e-05,2.60207e-05,2.60207e-05
71,481.013,0.86684,5.93802,1.75335,1.28238,0.94453,0.38965,0.42761,0.30068,0,0,0,0,1.80429,5.15918,2.42541,1.52914,2.55731e-05,2.55731e-05,2.55731e-05
72,486.419,0.62064,5.50859,0.75091,1.06372,0.94789,0.39025,0.42659,0.29957,0,0,0,0,1.8077,5.15909,2.43872,1.52792,2.5102e-05,2.5102e-05,2.5102e-05
73,491.287,0.85782,5.52128,1.25851,1.18269,0.94789,0.39025,0.42659,0.29957,0,0,0,0,1.8077,5.15909,2.43872,1.52792,2.46073e-05,2.46073e-05,2.46073e-05
74,496.075,0.6708,5.29403,1.03048,1.09217,0.94789,0.39025,0.42659,0.29957,0,0,0,0,1.8077,5.15909,2.43872,1.52792,2.40891e-05,2.40891e-05,2.40891e-05
75,500.599,0.6207,5.47474,0.64917,1.05063,0.94994,0.39085,0.42722,0.29978,0,0,0,0,1.82434,5.16227,2.43741,1.5571,2.35472e-05,2.35472e-05,2.35472e-05
76,505.059,0.52936,5.33329,0.96852,1.07142,0.94994,0.39085,0.42722,0.29978,0,0,0,0,1.82434,5.16227,2.43741,1.5571,2.29819e-05,2.29819e-05,2.29819e-05
77,510.012,0.69959,5.09434,0.75052,1.1123,0.94994,0.39085,0.42722,0.29978,0,0,0,0,1.82434,5.16227,2.43741,1.5571,2.23929e-05,2.23929e-05,2.23929e-05
78,514.667,0.79412,5.67946,1.34811,1.16174,0.94989,0.3885,0.42748,0.28321,0,0,0,0,1.82032,5.16205,2.43799,1.54696,2.17805e-05,2.17805e-05,2.17805e-05
79,519.661,0.60128,5.46241,1.03307,1.02034,0.94989,0.3885,0.42748,0.28321,0,0,0,0,1.82032,5.16205,2.43799,1.54696,2.11444e-05,2.11444e-05,2.11444e-05
80,525.866,0.52586,5.13289,0.79983,1.05096,0.94989,0.3885,0.42748,0.28321,0,0,0,0,1.82032,5.16205,2.43799,1.54696,2.04848e-05,2.04848e-05,2.04848e-05
81,530.854,0.57296,5.2628,0.70611,1.00525,0.95732,0.39323,0.42839,0.28309,0,0,0,0,1.85084,5.16189,2.46916,1.57601,1.98016e-05,1.98016e-05,1.98016e-05
82,535.176,0.68577,5.40843,0.75163,1.07528,0.95732,0.39323,0.42839,0.28309,0,0,0,0,1.85084,5.16189,2.46916,1.57601,1.90949e-05,1.90949e-05,1.90949e-05
83,540.207,0.70496,5.3448,0.96316,1.11012,0.95732,0.39323,0.42839,0.28309,0,0,0,0,1.85084,5.16189,2.46916,1.57601,1.83646e-05,1.83646e-05,1.83646e-05
84,546.263,0.6039,5.31815,0.7622,1.03317,0.95812,0.39524,0.42789,0.28185,0,0,0,0,1.83562,5.16286,2.46241,1.53397,1.76107e-05,1.76107e-05,1.76107e-05
85,550.656,0.52883,5.5118,0.84738,1.03805,0.95812,0.39524,0.42789,0.28185,0,0,0,0,1.83562,5.16286,2.46241,1.53397,1.68333e-05,1.68333e-05,1.68333e-05
86,555.273,0.67328,5.08808,0.84609,1.06598,0.95812,0.39524,0.42789,0.28185,0,0,0,0,1.83562,5.16286,2.46241,1.53397,1.60323e-05,1.60323e-05,1.60323e-05
87,561.266,0.54431,5.6719,0.85434,0.97561,0.95812,0.39524,0.42789,0.28185,0,0,0,0,1.83562,5.16286,2.46241,1.53397,1.52077e-05,1.52077e-05,1.52077e-05
88,565.947,0.52124,5.38367,1.07314,1.06383,0.95712,0.39411,0.42728,0.29106,0,0,0,0,1.86184,5.16287,2.51044,1.56102,1.43596e-05,1.43596e-05,1.43596e-05
89,570.225,0.92998,5.32417,1.52101,1.40733,0.95712,0.39411,0.42728,0.29106,0,0,0,0,1.86184,5.16287,2.51044,1.56102,1.34879e-05,1.34879e-05,1.34879e-05
