epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1437.9,0.71254,5.25986,0.85102,1.12816,0.91969,0.38865,0.42869,0.32303,0.55225,0.03333,0.01481,0.0047,1.7603,5.14781,2.33515,1.50393,2.23929e-05,2.23929e-05,2.23929e-05
78,1442.21,0.83674,5.86752,1.48673,1.18606,0.92121,0.38821,0.42808,0.32272,0.57496,0.01667,0.00869,0.00348,1.76385,5.15188,2.33772,1.50421,2.17805e-05,2.17805e-05,2.17805e-05
79,1446.3,0.61744,5.75052,1.13898,1.03145,0.92121,0.38821,0.42808,0.32272,0.57496,0.01667,0.00869,0.00348,1.76385,5.15188,2.33772,1.50421,2.11444e-05,2.11444e-05,2.11444e-05
80,1450.85,0.61312,5.45744,0.91303,1.08771,0.92121,0.38821,0.42808,0.32272,0.57496,0.01667,0.00869,0.00348,1.76385,5.15188,2.33772,1.50421,2.04848e-05,2.04848e-05,2.04848e-05
81,1455.57,0.57687,5.53037,0.7486,1.01839,0.91428,0.38992,0.42734,0.32208,0.57474,0.01667,0.00875,0.0035,1.78104,5.15731,2.33656,1.51417,1.98016e-05,1.98016e-05,1.98016e-05
82,1462.45,0.70882,5.70385,0.85075,1.08726,0.91428,0.38992,0.42734,0.32208,0.57474,0.01667,0.00875,0.0035,1.78104,5.15731,2.33656,1.51417,1.90949e-05,1.90949e-05,1.90949e-05
83,1467.17,0.75492,5.54858,1.07422,1.13137,0.91428,0.38992,0.42734,0.32208,0.57474,0.01667,0.00875,0.0035,1.78104,5.15731,2.33656,1.51417,1.83646e-05,1.83646e-05,1.83646e-05
84,1471.2,0.65977,5.71085,0.92325,1.06667,0.91104,0.39028,0.42709,0.32188,0.57421,0.01667,0.00875,0.00263,1.78206,5.15796,2.35208,1.51479,1.76107e-05,1.76107e-05,1.76107e-05
85,1475.28,0.57219,5.72236,0.88595,1.06646,0.91104,0.39028,0.42709,0.32188,0.57421,0.01667,0.00875,0.00263,1.78206,5.15796,2.35208,1.51479,1.68333e-05,1.68333e-05,1.68333e-05
86,1479.07,0.71264,5.5487,0.98799,1.092,0.91104,0.39028,0.42709,0.32188,0.57421,0.01667,0.00875,0.00263,1.78206,5.15796,2.35208,1.51479,1.60323e-05,1.60323e-05,1.60323e-05
87,1482.98,0.51466,6.06882,0.86722,0.96676,0.91104,0.39028,0.42709,0.32188,0.57421,0.01667,0.00875,0.00263,1.78206,5.15796,2.35208,1.51479,1.52077e-05,1.52077e-05,1.52077e-05
88,1486.87,0.53996,5.6624,1.09363,1.09184,0.91291,0.3885,0.42649,0.32173,0.57442,0.01667,0.00879,0.00176,1.77959,5.16873,2.36032,1.51394,1.43596e-05,1.43596e-05,1.43596e-05
89,1490.69,0.84883,5.56018,1.5318,1.36046,0.91291,0.3885,0.42649,0.32173,0.57442,0.01667,0.00879,0.00176,1.77959,5.16873,2.36032,1.51394,1.34879e-05,1.34879e-05,1.34879e-05
90,1494.59,0.64217,5.48948,0.84578,1.03024,0.91291,0.3885,0.42649,0.32173,0.57442,0.01667,0.00879,0.00176,1.77959,5.16873,2.36032,1.51394,1.25927e-05,1.25927e-05,1.25927e-05
91,1498.87,0.57666,5.50718,0.83138,1.01358,0.91291,0.3885,0.42649,0.32173,0.57442,0.01667,0.00879,0.00176,1.77959,5.16873,2.36032,1.51394,1.16739e-05,1.16739e-05,1.16739e-05
92,1502.85,0.82766,6.79842,1.2204,1.06794,0.9484,0.37013,0.42392,0.31986,0,0,0,0,1.79004,5.19242,2.43744,1.52043,1.07315e-05,1.07315e-05,1.07315e-05
93,1506.81,0.50215,5.53121,0.69034,1.08099,0.9484,0.37013,0.42392,0.31986,0,0,0,0,1.79004,5.19242,2.43744,1.52043,9.76562e-06,9.76562e-06,9.76562e-06
94,1510.55,0.62405,5.66013,0.64628,0.97789,0.9484,0.37013,0.42392,0.31986,0,0,0,0,1.79004,5.19242,2.43744,1.52043,8.77613e-06,8.77613e-06,8.77613e-06
95,1514.41,0.53347,5.52169,0.69204,1.01432,0.9484,0.37013,0.42392,0.31986,0,0,0,0,1.79004,5.19242,2.43744,1.52043,7.76308e-06,7.76308e-06,7.76308e-06
96,1518.75,0.50758,5.40274,0.89135,1.06965,0.94722,0.3711,0.4186,0.31775,0,0,0,0,1.78948,5.21452,2.45362,1.51347,6.72648e-06,6.72648e-06,6.72648e-06
97,1522.63,0.67169,5.83903,1.03251,1.07864,0.94722,0.3711,0.4186,0.31775,0,0,0,0,1.78948,5.21452,2.45362,1.51347,5.6663e-06,5.6663e-06,5.6663e-06
98,1527.25,0.53011,5.68189,0.7314,0.95198,0.94722,0.3711,0.4186,0.31775,0,0,0,0,1.78948,5.21452,2.45362,1.51347,4.58257e-06,4.58257e-06,4.58257e-06
99,1531.51,0.58604,5.3606,0.69845,1.03125,0.94722,0.3711,0.4186,0.31775,0,0,0,0,1.78948,5.21452,2.45362,1.51347,3.47528e-06,3.47528e-06,3.47528e-06
100,1535.76,0.56123,5.45772,0.73454,1.03633,0.94662,0.37805,0.41724,0.31751,0,0,0,0,1.78592,5.24754,2.44724,1.47838,2.34442e-06,2.34442e-06,2.34442e-06
